Route_Number,Stop_Sequence,From_Location,To_Site_ID,Leg_Distance_km,Cumulative_Route_Distance_km
Route 1,1,Warehouse: Jodhpur (Mogra Khurd),NGR-005,157.46,157.46
Route 1,2,NGR-005,BDRA-6007,284.87,442.32
Route 1,3,BDRA-6007,SRTG-008,156.6,598.92
Route 1,4,SRTG-008,GNGN-009,70.88,669.8
Route 2,1,Warehouse: Jodhpur (Mogra Khurd),AJMR-002,212.31,212.31
Route 2,2,AJMR-002,KSHG-010,30.43,242.74
Route 2,3,KSHG-010,JPUR-1504,101.24,343.98
Route 2,4,JPUR-1504,GGPC-0012,137.87,481.85
Route 2,5,GGPC-0012,SWM-006,77.97,559.82
Route 2,6,SWM-006,BNDI-003,134.35,694.17
Route 2,7,BNDI-003,KOTA-001,38.7,732.87
Route 2,8,KOTA-001,BARN-007,73.99,806.86
Route 2,9,BARN-007,JHLR-004,82.93,889.8
Route 3,1,Warehouse: Jodhpur (Mogra Khurd),SMRP-9046,118.45,118.45
Route 3,2,SMRP-9046,CHHN-9084,269.57,388.02
